id,rxn_id,step,starters,targets,enzymes,smarts
0a24a1c33085a4f1ea7f8e19ce06c35a7343fe7e,5582845919356f447668dd0ea4647fbddf01b7ac,1,pyruvate,3hpa,A9WGE2;A9WC35;Q8N0X4;S5N020;Q8R4N0;Q3J5L6;Q5I0K3;Q9I2A0;P38060;A8WG57;P35914;D4A5C3;Q8JZS7;O34873;P13703;P35915;Q8HXZ6;Q8TB92;O81027;Q5R9E1;Q29448;P97519;P0A9I1;P17725;O53078;P0A9I2;P44460,CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.CC(=O)C(=O)O>>CC(O)(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(=O)O
0a24a1c33085a4f1ea7f8e19ce06c35a7343fe7e,8c16137b4045f00069ba91d38a3b8b8ada3829c4,2,pyruvate,3hpa,A9WC41;Q9JLZ3;Q13825;Q1ZXF1;F1LU71;Q8BH95;P30084;Q58DM8;Q5R646;P14604;P95619;P95619;P17058;Q7X3G5;P95619;Q01670;P95619;Q7X3G5;P17058;Q01670;Q00870,CC(O)(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(=O)O>>CC(=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(=O)O.O
0a24a1c33085a4f1ea7f8e19ce06c35a7343fe7e,9c2c777c0fea421a26efc26857522fd2ccce1555,3,pyruvate,3hpa,Q8VCH6;Q15392;Q5BQE6;Q60HC5;Q39085;P93472;Q8VCH6;Q15392;Q5BQE6;Q60HC5;Q8VCH6;Q15392;Q5BQE6;Q60HC5,CC(=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(=O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1>>CC(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1
0a24a1c33085a4f1ea7f8e19ce06c35a7343fe7e,e86048734a2f69f1257bd92b62ddb418a781fe98,4,pyruvate,3hpa,Q5KUG0;A7IQE6;Q1LRY0;A7IQE5,CC(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(=O)O>>CC(C)(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
0a24a1c33085a4f1ea7f8e19ce06c35a7343fe7e,bd616dde067e2786bec3a4ea2c6e17d2d299dce4,5,pyruvate,3hpa,Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;Q5ZM72;Q66H50;Q922J9;Q7ZXF5;Q5R834;Q8WVX9;Q5ZM72;Q66H50;Q922J9;Q7TNT2;Q7ZXF5;Q0P5J1;Q96K12;Q5R834;Q8WVX9;Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;O51628;P13702;P29058;P43256;P54960;Q3S2U3;O28538;P09610;Q10283;Q4WHZ1;P16393;Q8J0F4;O24594;Q9Y7D2;Q5R6N3;P29057;P00347;Q41437;Q29512;S0DQM8;P12683;P34135;A0A0A1C3I2;A0A0A1C930;P04035;Q9V1R3;O26662;O64967;C8VN86;P0CT44;P20715;A2X8W3;Q01559;P48021;Q03163;P14891;Q59468;U5JCC6;O64966;I1RXX1;Q00583;O59469;P16237;Q41438;O08424;Q9XEL8;Q4WSY2;A0A803NI27;Q01237;Q58116;O74164;P48020;Q0C8L9;P48022;Q0DY59;A0A7J6H013;P51639;Q1W675;B2KX91;A0A1D8PD39;A7Z064;Q12649;P34136;O76819;P12684;Q9XHL5;B0R6J9;P14773;Q9YAS4;Q5ZM72;Q66H50;Q922J9;Q7ZXF5;Q5R834;Q8WVX9;Q5ZM72;Q66H50;Q922J9;Q7ZXF5;Q5R834;Q8WVX9;A1ZAI3;Q5ZM72;Q66H50;Q922J9;Q7TNT2;B9TSP7;Q7ZXF5;Q0P5J1;Q96K12;Q5R834;Q8WVX9;Q08891;A1ZAI3;Q5ZM72;Q66H50;Q922J9;Q7TNT2;Q7ZXF5;Q0P5J1;Q96K12;Q5R834;Q8WVX9;Q5ZM72;Q66H50;Q922J9;Q7TNT2;Q7ZXF5;Q0P5J1;Q96K12;Q5R834;Q8WVX9;Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;B9TSP7;Q08891,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.CC(C)(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O>>CC(C)(CO)C(=O)O.CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1
9b13db2d9c8b6a2b40034ef19b269be902cbfce4,27450e93bf1eb2d982a541e9b34724d7623e5cd6,1,glutamic_acid,3hpa,Q24SG9;Q8RHY7;P80078;Q73KI2;Q5V466;Q05488;Q5V467;P61191;P80077;Q3AFA7;Q05509;Q32IJ3;Q32IJ5;Q8X987;Q5V3F0;Q9HN21;Q9HN20;Q24SG7;A1JSN7;P58620;A1JSN5;Q890S0;Q8RHY5,NC(CCC(=O)O)C(=O)O>>CC(C(=O)O)C(N)C(=O)O
9b13db2d9c8b6a2b40034ef19b269be902cbfce4,646032df080e79e8522e14d05d85481075986e08,2,glutamic_acid,3hpa,A9X6P9;P76518;B0MC58;G2SYC0;O06924;P75726;P45413;O53079;P44459;Q59111;Q59112;A9X6P9;P76518;B0MC58;G2SYC0;Q59111;Q59112;O06924;P75726;P45413;O53079;P44459;Q93AM1;Q5U921;Q5U921;Q93AM1;P19413;P52043;C6EUD4;P19413;P19413;P19413;P19413;B4YST4;P19413;B4YST4;P19413;P19413;P19413;B4YST4;P19413;P19413;B4YST4;P19413;P52043;C6EUD4;Q39QF7;P9WPW5;P0C7I8;Q9W058;B0RVK4;P42315;Q9ZLE4;Q29551;Q9ZLE3;P9WPW3;P42316;Q9JJN4;Q9BYC2;Q9D0K2;Q5XIJ9;P63651;B0RVK3;P0C7I7;P9WPW2;P55809;B2GV06;Q9ESL0;P56006;Q54JD9;P56007;P9WPW4;P63649;Q09450;Q68FU4;Q7TNE1;Q9HAC7;Q68FU4;Q7TNE1;Q9HAC7;Q5P5Z3;Q68FU4;Q7TNE1;Q9HAC7;Q68FU4;Q7TNE1;Q9HAC7;Q68FU4;Q7TNE1;Q9HAC7;Q7CXU0;Q68FU4;Q7TNE1;Q9HAC7;Q7CXU0;B2GV06;Q29551;Q9D0K2;P55809;P23673;P76459;P33752;P76458;P23673;P76459;P33752;P76458;Q68FU4;Q7TNE1;Q9HAC7;B2GV06;Q29551;Q9D0K2;P55809;Q68FU4;Q7TNE1;Q9HAC7;Q68FU4;Q7TNE1;Q9HAC7;P9WPW5;P0C7I8;Q9W058;B0RVK4;P42315;Q9ZLE4;Q29551;Q9ZLE3;P9WPW3;P42316;Q9JJN4;Q9BYC2;Q9D0K2;Q5XIJ9;P63651;B0RVK3;P0C7I7;P9WPW2;P55809;B2GV06;Q9ESL0;P56006;Q54JD9;P56007;P9WPW4;P63649;Q09450;Q68FU4;Q7TNE1;Q9HAC7;Q5P5Z3;A7ZHC9;B7N7R3;B5RGA5;B7NHE2;B6HYY9;Q0TLV1;B1XBG3;B7MNP5;Q8ZRX3;Q57TI9;B1IRD8;Q8Z9L3;C4ZPW4;B7L4G1;P59394;B5YYD2;Q8FLA4;A1A788;B7LWM9;B4EY24;B7M0D5;A7ZVY8;Q5PIK9;Q8XA32;B1LFX1;B5R1R1;Q8GB19;B5BL56;Q0T8F6;Q32K59;B7UI84;B7MAG1;Q1RGG0;P31572;Q5P5Z3;Q1KLK1;Q1KLK0;A9WC40;A9WGE3;A9WC39;Q5P5Z3;Q01103;P0A102;P0A101;Q59091;Q8VPF2;Q43973;Q8VPF3;Q5P5Z3;Q5P5Z3;A7ZHC9;B7N7R3;B5RGA5;B7NHE2;B6HYY9;Q0TLV1;B1XBG3;B7MNP5;Q8ZRX3;Q57TI9;B1IRD8;Q8Z9L3;C4ZPW4;B7L4G1;P59394;B5YYD2;Q8FLA4;A1A788;B7LWM9;B4EY24;B7M0D5;A7ZVY8;Q5PIK9;Q8XA32;B1LFX1;B5R1R1;Q8GB19;B5BL56;Q0T8F6;Q32K59;B7UI84;B7MAG1;Q1RGG0;P31572;Q1KLK1;Q1KLK0;A9WC40;A9WGE3;A9WC39;Q5P5Z3;Q1KLK1;Q1KLK0;A9WC40;A9WGE3;A9WC39;Q5P5Z3;Q01103;P0A102;P0A101;Q59091;Q8VPF2;Q43973;Q8VPF3;Q68FU4;Q7TNE1;Q9HAC7;Q68FU4;Q7TNE1;Q9HAC7;Q39QF7;Q1KLK1;Q1KLK0;A9WC40;A9WGE3;A9WC39;F1CYZ5;G0HQ31;Q5V468;G0HQ31;Q5V468;Q5P5Z3;Q39QF7;Q5P5Z3;Q9KJE9;Q9KJF0;Q5P5Z3;Q5P5Z3;Q5P5Z3;A7ZHC9;B7N7R3;B5RGA5;B7NHE2;B6HYY9;Q0TLV1;B1XBG3;B7MNP5;Q8ZRX3;Q57TI9;B1IRD8;Q8Z9L3;C4ZPW4;B7L4G1;P59394;B5YYD2;Q8FLA4;A1A788;B7LWM9;B4EY24;B7M0D5;A7ZVY8;Q5PIK9;Q8XA32;B1LFX1;B5R1R1;Q8GB19;B5BL56;Q0T8F6;Q32K59;B7UI84;B7MAG1;Q1RGG0;P31572;F1CYZ5;A7ZHC9;B7N7R3;B5RGA5;B7NHE2;B6HYY9;Q0TLV1;B1XBG3;B7MNP5;Q8ZRX3;Q57TI9;B1IRD8;Q8Z9L3;C4ZPW4;B7L4G1;P59394;B5YYD2;Q8FLA4;A1A788;B7LWM9;B4EY24;B7M0D5;A7ZVY8;Q5PIK9;Q8XA32;B1LFX1;B5R1R1;Q8GB19;B5BL56;Q0T8F6;Q32K59;B7UI84;B7MAG1;Q1RGG0;P31572;Q5P5Z3;Q9KJE9;Q9KJF0;Q39QF7,CC(C(=O)O)C(N)C(=O)O.CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O>>CC(C(=O)O)C(N)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.CC(=O)O
9b13db2d9c8b6a2b40034ef19b269be902cbfce4,62277981d883290bf5c0d4ed25855547d908a0b4,3,glutamic_acid,3hpa,"",NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.CC(C(=O)O)C(N)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O>>CC(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(=O)O.N.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1
9b13db2d9c8b6a2b40034ef19b269be902cbfce4,e86048734a2f69f1257bd92b62ddb418a781fe98,4,glutamic_acid,3hpa,Q5KUG0;A7IQE6;Q1LRY0;A7IQE5,CC(CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(=O)O>>CC(C)(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O
9b13db2d9c8b6a2b40034ef19b269be902cbfce4,bd616dde067e2786bec3a4ea2c6e17d2d299dce4,5,glutamic_acid,3hpa,Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;Q5ZM72;Q66H50;Q922J9;Q7ZXF5;Q5R834;Q8WVX9;Q5ZM72;Q66H50;Q922J9;Q7TNT2;Q7ZXF5;Q0P5J1;Q96K12;Q5R834;Q8WVX9;Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;O51628;P13702;P29058;P43256;P54960;Q3S2U3;O28538;P09610;Q10283;Q4WHZ1;P16393;Q8J0F4;O24594;Q9Y7D2;Q5R6N3;P29057;P00347;Q41437;Q29512;S0DQM8;P12683;P34135;A0A0A1C3I2;A0A0A1C930;P04035;Q9V1R3;O26662;O64967;C8VN86;P0CT44;P20715;A2X8W3;Q01559;P48021;Q03163;P14891;Q59468;U5JCC6;O64966;I1RXX1;Q00583;O59469;P16237;Q41438;O08424;Q9XEL8;Q4WSY2;A0A803NI27;Q01237;Q58116;O74164;P48020;Q0C8L9;P48022;Q0DY59;A0A7J6H013;P51639;Q1W675;B2KX91;A0A1D8PD39;A7Z064;Q12649;P34136;O76819;P12684;Q9XHL5;B0R6J9;P14773;Q9YAS4;Q5ZM72;Q66H50;Q922J9;Q7ZXF5;Q5R834;Q8WVX9;Q5ZM72;Q66H50;Q922J9;Q7ZXF5;Q5R834;Q8WVX9;A1ZAI3;Q5ZM72;Q66H50;Q922J9;Q7TNT2;B9TSP7;Q7ZXF5;Q0P5J1;Q96K12;Q5R834;Q8WVX9;Q08891;A1ZAI3;Q5ZM72;Q66H50;Q922J9;Q7TNT2;Q7ZXF5;Q0P5J1;Q96K12;Q5R834;Q8WVX9;Q5ZM72;Q66H50;Q922J9;Q7TNT2;Q7ZXF5;Q0P5J1;Q96K12;Q5R834;Q8WVX9;Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;Q0P5J1;Q96K12;Q7TNT2;B9TSP7;Q08891,NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.CC(C)(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O>>CC(C)(CO)C(=O)O.CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1
