,starter_name,target_name,filename,generations,processed,starter_smiles,target_smiles,starter_id,target_id
0,"3-Hydroxy-2,2-dimethylpropanoic acid(3HPA)","3-Hydroxy-2,2-dimethylbutanoic acid(DMHB)",3HPA_to_DMHB_gen_3_tan_sample_0_n_samples_1000,3,False,CC(C)(CO)C(=O)O,CC(O)C(C)(C)C(=O)O,Ca44a84be6f833fe631009a55d05e4807de958fe0,Tc2274a1b151121868789bd03eb37b9c4065ef3d1
1,pyruvate,2mg,ccm_v0_to_2mg_gen_3_tan_sample_1_n_samples_1000,3,False,CC(=O)C(=O)O,C=C(CCC(=O)O)C(=O)O,Cf7e036e330ad26caa66bb458faad18fa684af921,Tec77ea281f69ca989bbef0a4c7794128a196c716
2,succinate,2mg,ccm_v0_to_2mg_gen_3_tan_sample_1_n_samples_1000,3,False,O=C(O)CCC(=O)O,C=C(CCC(=O)O)C(=O)O,C4fe83a533b208e245e45b74e0967d7b8e9aad361,Tec77ea281f69ca989bbef0a4c7794128a196c716
3,fumarate,2mg,ccm_v0_to_2mg_gen_3_tan_sample_1_n_samples_1000,3,False,O=C(O)C=CC(=O)O,C=C(CCC(=O)O)C(=O)O,Cd2c8451fbe5563b9a086b59c26af17772205613a,Tec77ea281f69ca989bbef0a4c7794128a196c716
4,citrate,2mg,ccm_v0_to_2mg_gen_3_tan_sample_1_n_samples_1000,3,False,O=C(O)CC(O)(CC(=O)O)C(=O)O,C=C(CCC(=O)O)C(=O)O,C7846bd0a566d52f5c266777c7322ec392a887a5d,Tec77ea281f69ca989bbef0a4c7794128a196c716
5,oxaloacetate,2mg,ccm_v0_to_2mg_gen_3_tan_sample_1_n_samples_1000,3,False,O=C(O)CC(=O)C(=O)O,C=C(CCC(=O)O)C(=O)O,C086e98dbf2ac460c91ac1a991badef07eb497a72,Tec77ea281f69ca989bbef0a4c7794128a196c716
6,acetate,2mg,ccm_v0_to_2mg_gen_3_tan_sample_1_n_samples_1000,3,False,CC(=O)O,C=C(CCC(=O)O)C(=O)O,C69bd7ab90d3f972909c038af169917ec6eb194ea,Tec77ea281f69ca989bbef0a4c7794128a196c716
7,malate,2mg,ccm_v0_to_2mg_gen_3_tan_sample_1_n_samples_1000,3,False,O=C(O)CC(O)C(=O)O,C=C(CCC(=O)O)C(=O)O,Cc522b49cc542f782eb7779a6c90ac1a255334bfa,Tec77ea281f69ca989bbef0a4c7794128a196c716
8,pyruvate,dipropyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,CC(=O)C(=O)O,CCCC(O)(CCC)C(=O)O,Cf7e036e330ad26caa66bb458faad18fa684af921,T6a58e311af73ef9829b52bf0ce73be12a42805d9
9,pyruvate,gem_dimethyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,CC(=O)C(=O)O,CC(O)C(C)(C)C(=O)O,Cf7e036e330ad26caa66bb458faad18fa684af921,Tc2274a1b151121868789bd03eb37b9c4065ef3d1
10,pyruvate,pivalic_acid,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,CC(=O)C(=O)O,CC(C)(CO)C(=O)O,Cf7e036e330ad26caa66bb458faad18fa684af921,Ta44a84be6f833fe631009a55d05e4807de958fe0
11,pyruvate,methyl_butane_diol,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,CC(=O)C(=O)O,CC(O)C(C)(C)O,Cf7e036e330ad26caa66bb458faad18fa684af921,T0f5655c6e1c28d7fd45b11b1375f029fb926af29
12,succinate,dipropyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CCC(=O)O,CCCC(O)(CCC)C(=O)O,C4fe83a533b208e245e45b74e0967d7b8e9aad361,T6a58e311af73ef9829b52bf0ce73be12a42805d9
13,succinate,gem_dimethyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CCC(=O)O,CC(O)C(C)(C)C(=O)O,C4fe83a533b208e245e45b74e0967d7b8e9aad361,Tc2274a1b151121868789bd03eb37b9c4065ef3d1
14,succinate,pivalic_acid,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CCC(=O)O,CC(C)(CO)C(=O)O,C4fe83a533b208e245e45b74e0967d7b8e9aad361,Ta44a84be6f833fe631009a55d05e4807de958fe0
15,succinate,methyl_butane_diol,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CCC(=O)O,CC(O)C(C)(C)O,C4fe83a533b208e245e45b74e0967d7b8e9aad361,T0f5655c6e1c28d7fd45b11b1375f029fb926af29
16,fumarate,dipropyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)C=CC(=O)O,CCCC(O)(CCC)C(=O)O,Cd2c8451fbe5563b9a086b59c26af17772205613a,T6a58e311af73ef9829b52bf0ce73be12a42805d9
17,fumarate,gem_dimethyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)C=CC(=O)O,CC(O)C(C)(C)C(=O)O,Cd2c8451fbe5563b9a086b59c26af17772205613a,Tc2274a1b151121868789bd03eb37b9c4065ef3d1
18,fumarate,pivalic_acid,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)C=CC(=O)O,CC(C)(CO)C(=O)O,Cd2c8451fbe5563b9a086b59c26af17772205613a,Ta44a84be6f833fe631009a55d05e4807de958fe0
19,fumarate,methyl_butane_diol,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)C=CC(=O)O,CC(O)C(C)(C)O,Cd2c8451fbe5563b9a086b59c26af17772205613a,T0f5655c6e1c28d7fd45b11b1375f029fb926af29
20,citrate,dipropyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CC(O)(CC(=O)O)C(=O)O,CCCC(O)(CCC)C(=O)O,C7846bd0a566d52f5c266777c7322ec392a887a5d,T6a58e311af73ef9829b52bf0ce73be12a42805d9
21,citrate,gem_dimethyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CC(O)(CC(=O)O)C(=O)O,CC(O)C(C)(C)C(=O)O,C7846bd0a566d52f5c266777c7322ec392a887a5d,Tc2274a1b151121868789bd03eb37b9c4065ef3d1
22,citrate,pivalic_acid,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CC(O)(CC(=O)O)C(=O)O,CC(C)(CO)C(=O)O,C7846bd0a566d52f5c266777c7322ec392a887a5d,Ta44a84be6f833fe631009a55d05e4807de958fe0
23,citrate,methyl_butane_diol,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CC(O)(CC(=O)O)C(=O)O,CC(O)C(C)(C)O,C7846bd0a566d52f5c266777c7322ec392a887a5d,T0f5655c6e1c28d7fd45b11b1375f029fb926af29
24,oxaloacetate,dipropyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CC(=O)C(=O)O,CCCC(O)(CCC)C(=O)O,C086e98dbf2ac460c91ac1a991badef07eb497a72,T6a58e311af73ef9829b52bf0ce73be12a42805d9
25,oxaloacetate,gem_dimethyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CC(=O)C(=O)O,CC(O)C(C)(C)C(=O)O,C086e98dbf2ac460c91ac1a991badef07eb497a72,Tc2274a1b151121868789bd03eb37b9c4065ef3d1
26,oxaloacetate,pivalic_acid,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CC(=O)C(=O)O,CC(C)(CO)C(=O)O,C086e98dbf2ac460c91ac1a991badef07eb497a72,Ta44a84be6f833fe631009a55d05e4807de958fe0
27,oxaloacetate,methyl_butane_diol,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,O=C(O)CC(=O)C(=O)O,CC(O)C(C)(C)O,C086e98dbf2ac460c91ac1a991badef07eb497a72,T0f5655c6e1c28d7fd45b11b1375f029fb926af29
28,acetate,dipropyl,ccm_v0_to_bottle_targets_24_gen_3_tan_sample_1_n_samples_1000_rules_JN3604IMT_rules_carbonyl_free,3,False,CC(=O)O,CCCC(O)(CCC)C(=O)O,C69bd7ab90d3f972909c038af169917ec6eb194ea,T6a58e311af73ef9829b52bf0ce73be12a42805d9
