Reaction ID	Rule	Aligned smarts	Reaction center
0	rule0267	NC(CCC=O)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.O=P(O)(O)O>>NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.NC(CCC(=O)OP(=O)(O)O)C(=O)O	((4,), (3, 4, 5, 6, 7, 47), (2,))
1	rule0071	CC(O)C(O)C(O)C(O)C(=O)O>>CC(O)C(O)CC(=O)C(=O)O.O	((5, 6, 7, 8),)
3	rule0117	CSCCC(=O)C(=O)O.O=CO>>CSCCC(=O)C(O)=CO.O=O	((6, 7), (1, 0))
5	rule0009	Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)OC3OC(CO)C(O)C(O)C3O)C(O)C2O)c(=O)[nH]1.O=P(O)(OC1C(O)C(O)C(O)C(O)C1O)OC1C(O)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O>>Nc1nc2c(ncn2C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)[nH]1.O=P(O)(OC1C(O)C(O)C(O)C(O)C1O)OC1C(O)C(O)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O	((21, 20), (37,))
6	rule0007	*C(=O)NC(*)C(=O)OC1C(COP(*)(=O)O)OC(n2cnc3c(N)ncnc32)C1O.O>>*C(=O)NC(*)C(=O)O.*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	((6, 8), (0,))
7	rule0097	C=C(OP(=O)(O)O)C(=O)O.O=C(O)C1=CC(OP(=O)(O)O)C(O)C(O)C1>>C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O.O=P(O)(O)O	((1, 2), (14,))
9	rule0027	NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.C=C(OC1C(O)C(CO)OC(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C1NC(C)=O)C(=O)O>>CC(=O)NC1C(OP(=O)(O)OP(=O)(O)OCC2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)OC(CO)C(O)C1OC(C)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1	((3, 4, 5, 45, 46, 47), (0, 1))
10	rule0037	O=P(O)(O)OP(=O)(O)O.CCCCCCCCCCCC(=O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O>>CCCCCCCCCCCC(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((2,), (13, 14))
13	rule0018	CCC=CCC1C(=O)CCC1CCCCCCCC(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1>>CCC=CCC1C(=O)C=CC1CCCCCCCC(=O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1	((8, 9), (3, 4, 5, 6, 7, 47))
14	rule0024	*C(=O)OCC(COP(=O)(O)OCC(N)C(=O)O)OC(*)=O>>*C(=O)OCC(COP(=O)(O)OCCN)OC(*)=O.O=C=O	((13, 15, 17),)
15	rule0040	O=C(O)CC1=CCC(=O)O1>>O=C(O)CC1C=CC(=O)O1	((6, 5, 4),)
16	rule0003	NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1.O=C(O)CC(=O)C(=O)O>>NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=C(O)CC(O)C(=O)O	((3, 4, 5, 41, 42, 43), (4, 5))
16	rule0753	O=C(O)CC(=O)C(=O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1>>NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)c1.O=C(O)CC(O)C(=O)O	((3, 4, 5), (3, 4, 5, 41, 42, 43))
17	rule0028	O=C(CO)C(O)C(O)COP(=O)(O)O>>O=CC(O)C(O)C(O)COP(=O)(O)O	((2, 1, 4),)
17	rule0250	O=C(CO)C(O)C(O)COP(=O)(O)O>>O=CC(O)C(O)C(O)COP(=O)(O)O	((2, 3, 1, 0),)
19	rule0034	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.*OC1C(COP(*)(=O)O)OC(c2c[nH]c(=O)[nH]c2=O)C1O>>*OC1C(COP(*)(=O)O)OC(c2c[nH]c(=O)n(C)c2=O)C1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	((0, 1), (17,))
20	rule0353	O=CC(O)COP(=O)(O)O.O=C(CO)COP(=O)(O)O>>O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O	((3, 1, 0), (2, 1, 0))
21	rule0006	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O.OCC(O)CO>>CCCCCC=CCC=CCC=CCC=CCCCC(=O)OC(CO)CO.O	((19, 21), (3,))
